NODE_ID,X_COORD,Y_COORD,Z_COORD,RESTRAINTS_UX_UY_UZ_RX_RY_RZ
N1,0.000,0.000,0.000,1,1,1,1,1,1
N2,0.000,0.000,4000.000,0,0,0,0,0,0
N3,5000.000,0.000,0.000,1,1,1,1,1,1
N4,5000.000,0.000,4000.000,0,0,0,0,0,0
N5,10000.000,0.000,0.000,1,1,1,1,1,1
N6,10000.000,0.000,4000.000,0,0,0,0,0,0
N7,0.000,4000.000,0.000,1,1,1,1,1,1
N8,0.000,4000.000,4000.000,0,0,0,0,0,0
N9,5000.000,4000.000,0.000,1,1,1,1,1,1
N10,5000.000,4000.000,4000.000,0,0,0,0,0,0
N11,10000.000,4000.000,0.000,1,1,1,1,1,1
N12,10000.000,4000.000,4000.000,0,0,0,0,0,0
N13,0.000,8000.000,0.000,1,1,1,1,1,1
N14,0.000,8000.000,4000.000,0,0,0,0,0,0
N15,5000.000,8000.000,0.000,1,1,1,1,1,1
N16,5000.000,8000.000,4000.000,0,0,0,0,0,0
N17,10000.000,8000.000,0.000,1,1,1,1,1,1
N18,10000.000,8000.000,4000.000,0,0,0,0,0,0
N19,0.000,13000.000,0.000,1,1,1,1,1,1
N20,0.000,13000.000,4000.000,0,0,0,0,0,0
N21,5000.000,13000.000,0.000,1,1,1,1,1,1
N22,5000.000,13000.000,4000.000,0,0,0,0,0,0
N23,10000.000,13000.000,0.000,1,1,1,1,1,1
N24,10000.000,13000.000,4000.000,0,0,0,0,0,0
